;subjective_gain_numeric_fuel;subjective_gain_numeric_chauffage;subjective_gain_numeric_taxe_carbone
141;-179.95893369320444;-321.55223927130464;-604.420531528744
142;-161.86586489443926;-160.05695350597898;-432.034576365028
143;-261.64808162939244;-206.7090484858482;-535.8767380446197
144;-277.3601337834807;-222.33500749932438;-597.6015713287527
145;-161.86586489443926;-503.35052126320744;-604.420531528744
146;-385.5603885900517;-211.5017425137312;-371.67125314856577
147;-251.77045136649244;-503.35052126320744;-604.420531528744
148;-261.64808162939244;-406.01377059920014;-535.8767380446197
149;-385.5603885900517;-160.05695350597898;-280.11435919710675
150;-194.3501881563619;-428.5867047272845;-487.1273752781999
151;-161.86586489443926;-364.264341270828;-535.8767380446197
152;-385.5603885900517;-346.5958199016186;-360.56965784366514
153;-161.86586489443926;-343.68542765471966;-379.2021188092017
154;-385.5603885900517;-515.4713024746252;-505.02024993174945
155;-385.5603885900517;-257.8093027501982;-350.5408256433111
156;-385.5603885900517;-397.7317007804456;-570.0105692176203
157;-277.3601337834807;-229.30842309840318;-526.657529828099
158;-385.5603885900517;-264.7919886415102;-928.3649331895629
159;-253.8510412230762;-189.84107802942708;-928.3649331895629
160;-277.3601337834807;-160.05695350597898;-438.78795184793677
161;-385.5603885900517;-235.0086142202381;-280.11435919710675
162;-161.86586489443926;-214.74449585693068;-360.56965784366514
163;-161.86586489443926;-188.11597609014188;-535.8767380446197
164;-161.86586489443926;-273.48477896294753;-651.1106988622079
165;-263.34128543179486;-160.05695350597898;-350.5408256433111
166;-237.43322123804262;-283.04929703199514;-455.9913009867364
167;-237.43322123804262;-224.60082310341937;-280.11435919710675
168;-385.5603885900517;-408.3476903670635;-423.98287167132094
169;-161.86586489443926;-160.05695350597898;-604.420531528744
170;-237.43322123804262;-160.05695350597898;-413.6210315172359
171;-385.5603885900517;-317.0103279494001;-670.4017928451922
172;-277.3601337834807;-233.55787022561222;-280.11435919710675
173;-161.86586489443926;-160.05695350597898;-280.11435919710675
174;-253.8510412230762;-164.90114504595567;-928.3649331895629
175;-177.59094863923693;-220.75817439434059;-280.11435919710675
176;-277.3601337834807;-339.0966503611323;-405.5885722240391
177;-161.86586489443926;-160.05695350597898;-449.42427246446414
178;-187.39738963520722;-229.58099734538746;-280.11435919710675
179;-161.86586489443926;-346.5958199016186;-280.11435919710675
180;-477.95739321943864;-224.60082310341937;-570.0105692176203
181;-385.5603885900517;-183.57088754432758;-439.8085154229441
182;-237.43322123804262;-286.14879814731677;-280.11435919710675
183;-277.3601337834807;-394.1795677417231;-317.5128909474056
184;-179.95893369320444;-494.3606671743358;-928.3649331895629
185;-261.64808162939244;-218.2014979459709;-335.08019469159115
186;-261.64808162939244;-367.1987572855214;-280.11435919710675
187;-277.3601337834807;-590.5948937072035;-417.52830662540237
188;-385.5603885900517;-160.05695350597898;-388.122367414717
189;-277.3601337834807;-323.73463334890494;-461.3337259932479
190;-161.86586489443926;-259.52750575396203;-535.8767380446197
191;-161.86586489443926;-248.19137991231142;-461.3337259932479
192;-161.86586489443926;-160.05695350597898;-461.3337259932479
193;-385.5603885900517;-520.0172132490006;-526.657529828099
194;-222.3568069407514;-160.05695350597898;-439.8085154229441
195;-237.43322123804262;-199.38253744270833;-928.3649331895629
196;-161.86586489443926;-211.43609681125386;-505.02024993174945
197;-404.17510895400204;-408.3476903670635;-928.3649331895629
198;-161.86586489443926;-160.05695350597898;-389.575725945409
199;-385.5603885900517;-240.03086164632003;-651.1106988622079
200;-253.8510412230762;-364.8363666745263;-505.02024993174945
201;-161.86586489443926;-332.9233650475403;-570.0105692176203
202;-261.64808162939244;-263.5094786805571;-505.02024993174945
203;-385.5603885900517;-462.787338817473;-280.11435919710675
204;-385.5603885900517;-160.05695350597898;-384.83410150433855
205;-271.7396932681486;-160.05695350597898;-280.11435919710675
206;-222.3568069407514;-541.1919427624438;-280.11435919710675
207;-161.86586489443926;-262.2368076179332;-344.216884170536
208;-277.3601337834807;-160.05695350597898;-408.9421976800986
209;-385.5603885900517;-286.14879814731677;-577.5510567631457
210;-161.86586489443926;-265.84338325694443;-670.4017928451922
211;-194.3501881563619;-246.39523895179232;-415.9597976278542
212;-271.7396932681486;-160.05695350597898;-455.9913009867364
