;distrteg;v1_btravdist;v1_btravmtp;mode;poids_qind1
18297;8.8;8.0;5.50;5;1329.848571
18298;;0.1;1.10;1;1210.6584593
18299;8.8;15.0;3.30;3;1275.81875
18300;8.8;5.0;5.50;5;1338.3776577
18301;21.4;25.0;3.31;3;1017.9953852
18302;9.7;8.0;3.31;3;1017.9210415
18303;;1.5;3.32;3;1018.0042829
18304;;2.0;3.32;3;1018.0042829
18305;5.2;6.0;2.20;2;1501.4955115
18307;9.7;15.0;3.30;3;752.13078101
18308;9.7;16.0;3.30;3;752.38341444
18309;;;;;1925.8129195
18310;0.0;1.0;1.10;1;1789.9510483
18312;0.0;0.2;1.10;1;1562.288693
18313;0.0;0.5;3.30;3;1704.6719324
18314;5.5;17.0;3.30;3;1704.7964329
18315;8.1;10.0;3.33;3;598.23191394
18316;8.1;9.0;3.30;3;752.38341444
18317;8.1;9.0;3.30;3;752.13078101
18318;0.0;0.5;2.20;2;3378.1462352
18319;0.0;3.0;3.30;3;2158.8141147
18320;0.0;0.5;1.10;1;4197.2893308
18321;0.0;1.0;1.10;1;2078.112321
18322;0.0;5.0;3.30;3;2077.9605574
18323;0.0;4.0;3.30;3;1756.275699
18324;0.0;0.5;1.10;1;1756.865615
18325;0.0;3.0;5.50;5;3283.9331567
18326;0.0;8.0;3.30;3;833.16952382
18327;3.2;4.0;2.20;2;832.88976423
18328;6.1;10.0;3.30;3;1514.6966238
18329;0.0;10.0;3.30;3;1514.1880227
18330;0.0;0.3;1.10;1;1664.1227146
18331;0.0;3.0;5.50;5;2515.0448584
18332;0.0;3.0;3.30;3;628.3740958
18333;0.0;3.0;3.30;3;628.16310191
18334;;;;;1722.3298594
18335;5.5;12.0;3.30;3;2175.2065271
18336;17.9;20.0;3.30;3;2143.2187407
18337;0.0;5.0;5.55;5;1636.6999832
18339;;;;;1310.5973045
18340;0.0;2.8;2.20;2;2848.7882184
18341;4.5;10.0;3.30;3;2848.7882184
18342;0.0;1.0;5.50;5;1275.1322459
18343;9.9;5.5;5.55;5;1431.4941833
18344;;;;;1289.1710718
18345;0.0;2.0;5.55;5;2507.321709
18346;4.6;6.0;3.30;3;2771.8832171
18347;0.0;3.0;5.55;5;2987.1925364
18348;0.0;7.0;3.30;3;661.40146162
18349;8.1;8.0;3.30;3;661.17937788
18350;0.0;2.0;3.30;3;1979.4358062
18351;;;;;2086.6740363
18352;0.0;1.0;1.10;1;2491.9819335
18353;0.0;2.5;3.30;3;696.95880143
18354;3.2;8.0;3.30;3;697.19290313
18355;275.0;0.5;1.10;1;745.68309374
18356;4.5;7.0;3.30;3;745.68309374
18358;0.0;9.0;3.30;3;2554.2828283
18360;18.9;25.0;3.30;3;2743.1392032
18361;6.7;10.0;3.30;3;1938.7824024
18362;;2.0;3.32;3;1938.799348
18363;4.1;5.0;3.32;3;1938.8000262
18364;;;;;1938.799348
18365;4.6;6.0;3.30;3;1200.8361327
18366;14.7;13.0;2.24;2;1200.4329189
18367;12.8;10.0;3.30;3;1265.4677643
18369;4.6;6.0;3.30;3;609.94193957
18370;201.1;5.0;3.30;3;609.73713478
18371;;55.0;3.30;3;685.81775178
18372;21.1;25.0;3.30;3;689.5428198
18373;;2.0;3.32;3;536.2602209
18374;36.0;40.0;3.30;3;406.09670929
18375;124.9;10.0;3.30;3;403.90288199
18376;;24.0;3.30;3;1021.5004885
18378;;4.0;3.30;3;1027.0488412
18379;;;;;565.06198275
18380;;;;;558.4519102
18381;;0.7;1.10;1;558.44726665
18382;;3.0;3.30;3;326.07499608
18383;;3.0;3.31;3;326.75203869
18384;;1.0;3.32;3;326.06186878
18385;24.4;28.0;3.33;3;353.47157486
18386;24.4;28.0;3.33;3;355.39148092
18387;3.3;7.0;5.50;5;126.76315148
18388;0.0;0.8;3.32;3;127.64743992
18389;;;;;104.91774618
18390;516.8;0.2;2.20;2;105.29593187
18391;4.4;4.0;4.43;4;212.58671437
18392;0.0;1.0;3.30;3;127.55996162
18393;8.6;9.0;5.55;5;127.10181141
18394;5.3;5.0;3.30;3;136.06142796
18395;6.6;6.0;3.30;3;73.410603456
18396;0.0;1.5;3.32;3;277.7410141
18397;6.6;7.0;3.30;3;98.10796936
18398;8.6;8.0;3.30;3;97.755600283
18399;0.0;1.0;3.32;3;202.59065112
18400;8.6;11.0;3.30;3;63.911399245
18401;8.6;11.0;3.30;3;63.681852135
18402;0.0;2.0;2.20;2;88.700375667
18403;6.6;3.0;3.30;3;103.56222768
18404;;20.0;3.33;3;103.93552728
18405;8.0;5.0;3.32;3;105.15515642
18407;;;;;135.1667085
18408;;;;;135.34028832
18409;0.0;1.0;3.32;3;136.10961941
18410;0.0;1.0;3.32;3;140.87994759
18411;4.4;4.0;3.32;3;136.10961941
18413;8.6;12.0;3.30;3;224.74452488
18414;0.0;0.3;1.10;1;227.92190011
18415;10.7;12.0;3.30;3;606.96738167
18416;;54.0;3.30;3;603.68840505
18417;;4.0;3.32;3;987.67134554
18418;;4.0;3.32;3;603.53761375
18419;;6.0;3.31;3;269.53227464
18420;14.9;20.0;3.30;3;235.27208027
18421;;0.1;1.11;1;247.69496968
18422;;1.2;3.32;3;247.69496968
18423;19.1;17.0;3.30;3;324.83007632
18424;19.1;15.0;3.30;3;324.8492054
18425;;;;;1447.9886329
18426;15.0;20.0;3.30;3;1530.3997103
18427;301.9;15.0;3.30;3;922.48168244
18428;15.0;22.0;3.30;3;927.49220747
18429;8.0;12.0;4.43;4;2393.5940301
18430;35.6;45.0;5.59;5;397.04998638
18431;23.5;25.0;3.30;3;485.08718977
18432;18.7;17.0;3.30;3;479.41265915
18433;;1.0;1.10;1;508.97802694
18434;;1.0;1.10;1;479.40867282
18435;;;;;593.44834873
18436;16.5;15.0;3.30;3;162.62788203
18437;22.6;38.0;3.33;3;174.09178995
18438;;1.0;1.10;1;105.55917662
18439;16.5;15.0;3.30;3;183.89307487
18440;;;;;184.55593442
18441;;1.5;3.32;3;192.110056
18442;;1.0;3.32;3;192.110056
18444;14.7;12.0;3.30;3;116.33518917
18445;16.5;30.0;3.30;3;116.75453009
18446;;3.0;3.32;3;220.86401734
18447;11.5;15.0;3.30;3;196.20292102
18448;14.7;10.0;3.30;3;196.91015255
18449;;1.5;5.50;5;409.92697805
18450;16.5;25.0;3.30;3;142.36089635
18451;;15.0;3.30;3;142.87404933
18452;;1.0;5.50;5;142.0773536
18453;;20.0;5.56;5;112.38583964
18454;;5.0;2.24;2;90.650126523
18455;10.1;12.0;2.24;2;90.324543376
18457;8.1;6.0;5.59;5;136.35545671
18458;10.1;16.0;3.30;3;297.0188772
18459;;;;;298.08950914
18460;;2.5;3.32;3;563.89457832
18461;;6.0;2.24;2;99.287408735
18462;;6.0;3.30;3;98.930803529
18463;;1.5;5.50;5;102.51308286
18464;10.1;25.0;3.30;3;220.15674323
18465;;;;;220.95031851
18466;;;;;235.67595556
18467;;1.0;5.50;5;417.97071976
18468;10.1;25.0;3.30;3;318.66849462
18469;;;;;253.93024398
18470;10.1;15.0;5.50;5;238.04671018
18471;8.3;10.0;3.30;3;241.41214799
18472;9.0;15.0;3.30;3;95.017717415
18473;;2.0;5.50;5;88.584034099
18474;13.4;20.0;3.30;3;89.080767181
18475;;;;;88.760820616
18476;;;;;115.02341343
18477;10.1;7.0;3.30;3;114.61029007
18478;;1.0;3.32;3;232.2259664
18479;10.1;7.0;5.55;5;96.261264074
18481;;2.5;3.30;3;96.137804805
18482;;1.5;2.20;2;97.173107671
18483;;0.0;1.10;1;100.20136654
18484;;;;;327.71623593
18485;;4.0;3.32;3;338.79768563
18486;;4.0;3.32;3;341.56817648
18487;8.3;10.0;3.30;3;435.22343432
18488;;;;;146.03299906
18489;;5.0;3.31;3;288.35784482
18490;;0.8;3.32;3;272.74261644
18491;;;;;276.34422796
18492;;;;;136.08478063
18493;;;;;463.19756419
18494;;;;;464.86720253
18495;10.1;8.0;5.55;5;495.84912528
18496;;;;;119.4072583
18497;10.3;7.0;3.30;3;119.83767278
18498;10.1;5.0;5.55;5;180.25921451
18499;20.5;20.0;5.55;5;92.809199204
18500;5.1;1.3;2.20;2;297.04684719
18501;;4.0;3.31;3;295.97996012
18502;;0.5;3.32;3;298.73538633
18503;;;;;171.65627355
18504;;;;;170.44404222
18505;;;;;107.5412903
18506;;;;;107.9289328
18507;10.1;20.0;3.31;3;103.33182111
18508;;;;;103.70429019
18509;;2.0;3.32;3;196.17693745
18510;;2.0;3.32;3;104.29378897
18511;14.8;8.0;3.30;3;426.37754321
18512;10.1;8.0;3.31;3;210.22813597
18513;10.1;15.0;3.30;3;213.20028255
18514;;1.0;3.32;3;211.6946687
18515;;;;;219.11407851
18516;10.1;13.0;3.30;3;68.719016754
18517;;;;;150.11818226
18518;;;;;155.47556407
18519;10.1;0.0;5.55;5;213.85198559
18521;10.1;6.0;3.30;3;216.87536515
18522;;2.0;3.32;3;215.34379798
18523;;0.8;1.10;1;275.53414789
18524;8.1;3.0;4.43;4;144.97617695
18525;;85.0;3.30;3;385.65168445
18526;25.5;30.0;3.30;3;381.24373234
18527;;30.0;3.32;3;381.14850401
18528;;19.0;3.30;3;92.024726493
18529;15.9;10.0;8.80;8;91.69420627
18530;;0.1;1.10;1;92.896439102
18531;;;;;239.20646799
18532;17.6;15.0;3.30;3;235.87177876
18533;;2.0;3.32;3;487.69517031
18534;17.6;22.0;3.31;3;72.020513233
18535;15.9;20.0;3.30;3;71.761841058
18536;4.5;4.0;4.43;4;145.40546822
18537;;1.5;3.32;3;74.9684093
18538;29.0;31.0;3.30;3;124.60124034
18539;8.6;14.0;3.30;3;86.940170159
18540;;3.0;3.32;3;87.546657035
18541;;;;;90.614965412
18542;40.1;40.0;3.30;3;137.52137723
18543;;0.5;1.10;1;283.97841213
18544;;;;;138.30310654
18545;;;;;208.40421842
18546;;;;;209.99920363
18547;18.6;25.0;3.30;3;128.98446182
18549;;0.4;1.10;1;128.00479949
18550;37.3;40.0;2.24;2;136.00224967
18551;;;;;76.150454878
18552;15.6;20.0;3.30;3;75.876949416
18553;31.2;30.0;3.32;3;227.17747181
18554;339.5;4.0;2.20;2;191.9890709
18555;0.0;0.4;1.10;1;70.38984624
18556;9.0;6.0;3.30;3;188.66854223
18557;0.0;0.1;1.10;1;187.99091165
18558;0.0;0.6;2.20;2;389.59610586
18559;10.6;7.0;3.30;3;90.124247246
18560;58.0;70.0;3.30;3;89.800552871
18561;0.0;1.5;5.50;5;89.6216955
18562;0.0;1.0;3.32;3;93.813153393
18563;0.0;1.0;3.32;3;93.813153393
18564;9.0;10.0;3.30;3;199.50088735
18565;10.6;10.0;3.30;3;213.07025983
18566;10.6;8.0;3.30;3;211.70698983
