;gain_net_numeric_uc_fuel;gain_net_numeric_uc_chauffage;gain_net_numeric_uc_taxe_carbone
39;-34.32951852213739;29.71901374295733;-4.610504779180057
40;17.6185890113458;-47.32643578001504;-29.707846768669242
41;60.0;50.0;110.0
42;-114.6142656484465;-135.0286204264288;-249.6428860748753
43;-57.680028811513466;50.0;-7.680028811513466
44;-11.44875579902379;43.47826086956522;32.02950507054143
45;-118.47180685712416;47.61904761904762;-70.85275923807654
46;-54.01239777104289;31.040589889136907;-22.97180788190599
47;-85.5955887544917;50.0;-35.5955887544917
48;-69.57864632442815;40.0;-29.578646324428156
49;-31.865439339361274;66.66666666666667;34.80122732730539
50;-10.503260098887722;8.347405665642043;-2.155854433245679
51;-34.90961317937317;47.61904761904762;12.70943443967445
52;-219.01456818029405;-21.766978177148367;-240.7815463574424
53;-157.05404745327715;-33.6190145384563;-190.67306199173345
54;52.9965683887724;66.66666666666667;119.66323505543907
55;60.0;50.0;110.0
56;27.99206261718903;41.66666666666667;69.6587292838557
57;64.52147946986751;21.65201139006918;86.17349085993669
58;-33.206594958260816;66.66666666666667;33.46007170840585
59;-35.89907548471219;-53.98158646780794;-89.88066195252013
60;-400.9885181237569;50.0;-350.9885181237569
61;60.0;50.0;110.0
62;-15.057326547580212;30.303030303030305;15.245703755450092
63;58.710511753409115;-115.80089138264668;-57.09037962923757
64;60.0;50.0;110.0
65;-82.94463523259778;44.27381827584868;-38.67081695674907
66;14.70889526564655;47.61904761904762;62.32794288469417
67;80.0;8.539486578234346;88.53948657823435
68;-147.9992527352033;-62.53333349373338;-210.53258622893668
69;58.690873228681234;36.32540521517702;95.01627844385825
70;-61.88925484519211;50.0;-11.889254845192113
71;60.0;50.0;110.0
72;-49.84757902164529;50.0;0.15242097835471213
73;-13.572126532503566;-80.97128929371972;-94.54341582622328
74;-61.36980485496921;61.646378130106164;0.27657327513694935
75;-13.844926248479775;-204.09151279149924;-217.93643903997904
76;-143.3688282131901;12.896282411052034;-130.4725458021381
77;-2.7626753021784225;-22.917806936790726;-25.680482238969148
78;-113.98251439496585;-74.69126492348516;-188.673779318451
79;60.0;-7.567591125128445;52.432408874871555
80;3.3536748612193708;-52.044887936502306;-48.69121307528294
81;28.183581843613613;55.55555555555556;83.73913739916917
82;80.0;-66.81187121358819;13.188128786411804
83;-106.0250645730054;66.66666666666667;-39.35839790633872
84;60.0;-93.37038675603048;-33.370386756030484
85;38.220291932106726;35.79073523181307;74.01102716391979
86;30.070416031714558;-30.439052854023732;-0.3686368223091752
87;17.705209961993358;42.91595008093649;60.62116004292985
88;-13.597797162666058;-122.028937035856;-135.62673419852206
89;-54.857420227600265;33.333333333333336;-21.52408689426693
90;-140.63353031199767;35.714285714285715;-104.91924459771197
91;-34.0043524073742;50.0;15.9956475926258
92;-8.144210910444713;50.0;41.85578908955529
93;30.529277364448813;33.333333333333336;63.862610697782145
94;60.0;-594.4857152800496;-534.4857152800496
95;-9.812101421830448;18.00161302394082;8.189511602110372
96;-8.724723017526685;-92.50430331225004;-101.22902632977673
97;-59.816157688544834;47.61904761904762;-12.197110069497214
98;-78.06532715414396;32.589776227763;-45.47555092638097
99;-127.96894657150324;52.416235702463496;-75.55271086903974
100;-24.561389689083626;50.0;25.438610310916374
101;22.20873717447618;41.14769404471474;63.35643121919092
102;-61.816415076834346;14.729964311998334;-47.086450764836016
103;80.0;-7.374044080816399;72.6259559191836
104;-50.642944826930034;-52.08692259176587;-102.7298674186959
105;-82.94463523259778;-32.83529722384312;-115.77993245644089
106;-13.413424477451372;66.66666666666667;53.25324218921529
107;44.33260905387573;47.53578068539963;91.86838973927536
108;-12.188375597377;6.214443702173022;-5.973931895203978
109;-24.752054939400296;50.0;25.247945060599704
110;24.88183343750136;-4.641975368049399;20.23985806945196
111;-44.55123933628329;-72.0079854791317;-116.55922481541499
112;52.91330826799094;-4.458472275926321;48.45483599206462
113;60.0;-14.126941237848712;45.87305876215129
114;60.0;46.75636215801109;106.75636215801109
115;-4.782648177419473;47.61904761904762;42.836399441628146
116;-6.873438389594957;-63.743127494301554;-70.61656588389651
117;-61.3769612473136;-30.158672749441962;-91.53563399675556
118;60.0;8.258893919597256;68.25889391959726
119;-27.60509867056372;55.55555555555556;27.950456884991834
120;13.493731511860119;-94.09974222625851;-80.6060107143984
